Date,Open,High,Low,Close,Adj Close,Volume
2005-04-01,537.34198,602.864014,531.864014,565.012024,267.183319,286244539
2005-05-01,565.012024,596.499023,548.844971,589.982971,278.991608,206350623
2005-06-01,591.56897,604.526978,561.442993,593.825989,280.808777,269950861
2005-07-01,597.046997,614.794006,551.036011,576.291992,279.546234,328744399
2005-08-01,500.899994,988.01001,416.128998,506.716003,245.796478,236991410
2005-09-01,507.199005,573.440002,502.528992,513.968994,249.314743,297577215
2005-10-01,517.353027,524.122009,481.089996,499.463013,242.278152,238415722
2005-11-01,498.496002,540.184021,489.358002,518.320007,251.425217,239474335
2005-12-01,520.737976,557.968018,517.353027,549.747986,271.88443,186801034
2006-01-01,549.747986,560.38501,530.40802,556.517029,275.232239,265296853
2006-02-01,557.968018,606.802002,274.041992,580.208984,286.94931,373127114
2006-03-01,581.176025,595.830994,267.070007,553.616028,273.797516,284755463
2006-04-01,566.187012,568.536987,534.758972,556.517029,275.232239,202996766
2006-05-01,556.517029,590.846008,521.781982,586.494995,290.058167,298740583
2006-06-01,584.560974,699.877014,548.297974,565.703979,279.775696,395020987
2006-07-01,566.187012,594.713989,282.707001,589.395996,299.500214,235281334
2006-08-01,591.812988,626.625977,318.128998,616.955994,313.50473,243158547
2006-09-01,620.340027,1300.439941,611.637024,645.482971,328.000671,235962357
2006-10-01,645.966003,689.481995,625.174988,647.900024,329.228851,286049486
2006-11-01,650.317993,722.843994,641.130981,664.822998,337.828278,421181175
2006-12-01,671.107971,731.062988,576.825012,712.690002,368.03595,197924720
2007-01-01,712.690002,1404.109985,687.064026,742.66803,383.516785,311376676
2007-02-01,749.437012,775.062988,285.269012,737.833008,381.019989,271007068
2007-03-01,739.767029,774.578979,716.625977,771.195007,398.248291,284191905
2007-04-01,773.129028,796.463013,470.453003,760.557007,392.754913,210936238
2007-05-01,757.172974,767.325989,726.643982,757.172974,391.007172,587336209
2007-06-01,755.239014,766.301025,690.226013,713.656982,368.5354,602963332
2007-07-01,714.140991,721.877014,657.570007,679.328003,359.308868,454928765
2007-08-01,670.625,719.942993,665.697998,718.008972,379.767914,352895754
2007-09-01,723.810974,768.776978,694.799988,758.140015,400.993927,231281141
2007-10-01,751.854004,780.86499,725.260986,775.062988,409.944885,200952969
2007-11-01,767.325989,802.138977,744.60199,794.403015,420.174133,188569756
2007-12-01,792.952026,821.963013,780.380981,806.491028,433.027985,136140668
2008-01-01,806.491028,837.919006,722.843994,748.469971,401.874817,252680453
2008-02-01,753.304993,768.294006,704.953979,709.30603,380.846558,179197963
2008-03-01,701.085999,715.591003,661.437988,668.690979,359.039124,183070290
2008-04-01,669.65802,711.23999,665.30603,677.393982,363.712067,149330989
2008-05-01,675.94397,729.129028,668.690979,721.393005,387.336304,180059889
2008-06-01,718.492004,1171.060059,617.439026,638.713013,342.943146,233231930
2008-07-01,632.427979,675.94397,618.502991,645.966003,357.353455,181795845
2008-08-01,643.549011,710.27301,627.593018,690.932007,382.229156,132659807
